"id_barang";"nama_barang";"stok";"id_satuan";"id_jenis";"foto"
"BRG-0001";"Teh Pucuk Harum";"0";"2";"1";"d4f130cc51185c56c9effcfa0b4a30a0.jpg"
"BRG-0002";"Aqua";"0";"1";"1";"aqua.jpg"
"BRG-0003";"ari";"20";"4";"1";"foto_3x4-min.jpg"
"id_barang_keluar";"Mat_Code";"id_user";"jumlah_keluar";"tgl_keluar"
"BRG-K-0001";"40000710";"USR-001";"20";"2020-09-15"
"BRG-K-0002";"40000710";"USR-002";"150";"2023-02-26"
"BRG-K-0003";"40000710";"Aldo";"30";"2023-02-27"
"id_barang_masuk";"Mat_Code";"id_user";"jumlah_masuk";"tgl_masuk"
"BRG-M-0002";"40000046";"USR-0-4";"1";"2023-02-26"
"BRG-M-0003";"40000710";"USR-0-4";"100";"2023-02-26"
"BRG-M-0004";"222";;"0";"2023-02-26"
"BRG-M-0005";"2222";;"0";"2023-02-26"
"BRG-M-0006";;;"0";"2023-02-26"
"id_jenis";"nama_jenis";"ket"
"1";"Minuman";
"3";"Kemasan";
"id_satuan";"nama_satuan";"ket"
"1";"Box";
"2";"Unit";
"4";"Pack";
"Mat_Code";"Material_Description";"UOM";"Location";"Stock"
"80000366";"""PIPE 1-1/2"""" X 6M PN10 GRP""";"EA";"FL.05";"0"
"80000367";"""PIPE 4"""" X 6M PN10 GRP""";"EA";"FL.05";"0"
"80000368";"""PIPE 3"""" X 6M PN10 GRP""";"EA";"FL 05";"0"
"80000369";"""ELBOW 90° 3"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000370";"""ELBOW 90° 1-1/2"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000371";"""ELBOW 90° 4"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000372";"""SOCKOLET 1"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000373";"""STUB END FLANGE 3"""" CL150 FF GRP""";"EA";"R34.B6.02";"0"
"80000374";"""STUB END FLANGE 4"""" CL150 FF GRP""";"EA";"R34.B6.02";"0"
"80000375";"""STUB END FLANGE 1"""" CL150 FF GRP""";"EA";"R34.B6.02";"0"
"80000376";"""STUB END FLANGE 1-1/2"""" CL150 FF GRP""";"EA";"R34.B6.02";"0"
"80000377";"""TEE 3""""X3"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000378";"""TEE 4""""X4"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000379";"""CON.REDUCER 4""""X3"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000381";"""CON.REDUCER 3""""X1-1/2"""" PN10 GRP""";"EA";"R34.B6.02";"0"
"80000385";"Coupling flender H125FK 102P05";"EA";"R09.B4.01";"0"
"80000387";"COUPLING N-EUPEX H180-140 FLENDER";"EA";"R09.B5.01";"0"
"80000389";"SEAL-O-RING PN.2287108 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000391";"SEAL-O-RING PN.2287090 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000392";"SEAL-O-RING PN.2697852 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000393";"SEAL-O-RING PN.3170808 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000394";"SEAL PN.8T9524 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000395";"SEAL-O-RING PN.1234724 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000421";"COUPLING RWN 228 BORE D1:78MM & D2:80MM";"EA";"R09.B3.01";"0"
"80000422";"SEAL-O-RING PN.2287089 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000435";"CROSS HEAD D105X120 (C207182) 101P02";"EA";"R08.B4.02";"0"
"80000436";"CROSS HEAD D130X155 (B207180) 101P01/03";"EA";"R08.B3.02";"0"
"80000437";"C.HEAD PIN D56/25X110(E141933) 101P01/03";"EA";"R08.B3.02";"0"
"80000438";"BOLT M8 X 16MM (L101476) 101P02";"EA";"R08.B4.04";"0"
"80000439";"DEFLECTOR D142/61X1,5(E164913) 101P01/03";"EA";"R08.B4.03";"0"
"80000447";"PAIR OFDISC M12 (B01-004/L109464) 101P02";"EA";"R08.B4.04";"0"
"80000449";"PAIR OFDISC M12 (B01-012/L109464) 101P02";"EA";"R08.B4.04";"0"
"80000465";"BREAHTER FILTER (50/L110854) 101P02";"EA";"R08.B4.04";"0"
"80000466";"FILTER OIL WD940 PB25 101P01/03";"EA";"R04.B4.03";"0"
"80000479";"""SORF FLANGE  1"""" CL150 A182 316L""";"EA";"A9.06";"0"
"80000481";"""SORF FLANGE  2"""" CL150 A182 316L""";"EA";"A9.06";"0"
"80000482";"""SORF FLANGE  3"""" CL150 A182 316L""";"EA";"A9.06";"0"
"80000487";"WNR FLANGE DN50 PN25 SS316L";"EA";"A8.03";"0"
"80000489";"""BLIND FLANGE 4"""" CL150 SCH40 RF SS316L""";"EA";"A9.07";"0"
"80000490";"""ECC REDUCER 3"""" X 2"""" SCH40 SMLS SS316L""";"EA";"A8.17";"0"
"80000491";"""STUD BOLT 5/8"""" X 6"""" C/W 2NUT HDG""";"EA";"A2.20";"0"
"80000492";"""B.VALVE 1/2"""" PN.SS-45XS8 SWAGELOK""";"EA";"R01.B2.02";"0"
"80000493";"""B.VALVE 1-1/2"""" 3PC CL1000 WOG BW SS316L""";"EA";"A7.17";"0"
"80000509";"""TEE REDUCER 4"""" X 3"""" SCH40 SMLS SS316L""";"EA";"A9.18";"0"
"80000511";"PUMP GP-WATER PN.416-0611 - 136DG01/02";"EA";"R05.B3.01";"0"
"80000512";"SEAL PN.271-4926 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000513";"SEAL PN.271-4928 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000514";"SEAL O-RING PN.3S-1223 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000515";"RING AS PN.166-4374 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000516";"SEAL GP PN.416-0603 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000517";"SHAFT PUMP D PN.212-8180 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000518";"SEAL-LIP TYPE PN.8C-5236 - 136DG01/02";"EA";"R04.B2.02";"0"
"80000519";"O-RING 50 X 3N - 122P03-05";"EA";"R14.B1.04";"0"
"80000529";"GASKET 160X48X2 (Z0090530) 101P01/03";"EA";"R08.B4.04";"0"
"80000530";"GASKET 227X161X1 (L34199) 101P01/03";"EA";"R08.B4.04";"0"
"80000532";"GASKET 340X340X1 (C196951) 101P02";"EA";"R08.B4.04";"0"
"80000533";"GASKET 420X420X1 (D213533) 101P01/03";"EA";"R08.B4.04";"0"
"80000534";"GASKET 476X342X1 (C196950) 101P02";"EA";"R08.B4.04";"0"
"80000536";"GASKET (C202227) 101P01/03";"EA";"R08.B4.04";"0"
"80000537";"GASKET 720X460X1 (1453729) 101P01/03";"EA";"R08.B4.04";"0"
"80000538";"GASKET D10/15X3 (L102339) 101P02";"EA";"R08.B4.03";"0"
"80000541";"GASKET D13/18X2 (L102215) 101P01/03";"EA";"R08.B4.03";"0"
"80000544";"GASKET D155/82X1 (E161687) 101P01/03";"EA";"R08.B4.04";"0"
"80000548";"GASKET D17/22X2 (L102235) 101P02";"EA";"R08.B4.03";"0"
"80000551";"GASKET D21/27X2 (L108804) 101P02";"EA";"R08.B4.03";"0"
"80000552";"GASKET D21/27X2,5 (L102275) 101P01/03";"EA";"R08.B4.04";"0"
"80000554";"GASKET D27/32X2 (L102311) 101P02";"EA";"R08.B4.03";"0"
"80000556";"GASKET D27/32X2 (L102311) 101P01/03";"EA";"R08.B4.03";"0"
"80000558";"GASKET D42/50X2 (L102381) 101P02";"EA";"R08.B4.03";"0"
"80000559";"GASKET D42/50X2 (L102381) 101P01/03";"EA";"R08.B4.03";"0"
"80000561";"GASKET D48/55X2 (L102391) 101P02";"EA";"R08.B4.03";"0"
"80000562";"GASKET D48/55X2 (L102391) 101P01/03";"EA";"R08.B4.03";"0"
"80000567";"GASKET D70/92X10,8 (1352616) 101P02";"EA";"R08.B4.03";"0"
"80000580";"SEAL-O-RING PN.9X7381 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000581";"SEAL-O-RING PN.3303517 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000582";"SEAL-O-RING PN.2287100 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000585";"SEAL-O-RING PN.2385080 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000586";"SEAL-O-RING PN.2385081 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000587";"SEAL-O-RING PN.2287091 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000588";"SEAL-O-RING PN.3P1156 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000591";"SEAL-O-RING PN.5P9186 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000592";"SEAL PN.8T1919 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000595";"SEAL-O-RING PN.0951687 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000596";"SEAL-O-RING PN.1853503 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000597";"SEAL-O-RING PN.2287092 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000599";"SEAL-O-RING PN.2287093 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000600";"SEAL-O-RING PN.1J9671 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000602";"SEAL-O-RING PN.2M9780 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000603";"SEAL PN.2S4078 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000604";"SEAL-O-RING PN.3D2824 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000638";"""GL.VALVE 1"""" CL800 SW A216 CS""";"EA";"A6.31";"0"
"80000639";"""GL.VALVE 1/2"""" CL800 SW WCB""";"EA";"C54";"0"
"80000641";"""GL.VALVE 1-1/2"""" CL800 SW SS316L""";"PC";"A6.32";"0"
"80000643";"""GL.VALVE 2"""" CL800 SW WCB""";"EA";"A6.32";"0"
"80000647";"GL.VALVE DN15 PN10 MF FE WCB";"EA";"A7.14";"0"
"80000652";"GL.VALVE DN20 PN10 MF FE WCB";"EA";"A7.10";"0"
"80000822";"O-RING D13.94X2.62 (L102811) 101P01/03";"EA";"R08.B4.04";"0"
"80000823";"O-RING D18.72X2.62 (L102814) 101P01/03";"EA";"R08.B4.04";"0"
"80000825";"O-RING D82,14/3,53 (L104422) 101P01/03";"EA";"R08.B4.03";"0"
"80000845";"Pillow bearing P217";"EA";"R02.B1.01";"0"
"80000847";"CROSSHEAD PIN D42/20X88 (E134208) 101P02";"EA";"R08.B3.02";"0"
"80000855";"STRAIGHT PIN 10X24 (L108816) 101P01/03";"EA";"R08.B4.03";"0"
"80000876";"PLUNGER D75/28X305 (1346071) 101P02";"EA";"R08.B3.01";"0"
"80000877";"PLUNGER D80/40X355 (1395482) 101P01/03";"EA";"R08.B3.01";"0"
"80000885";"SEAL PN.3J1907 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000886";"SEAL-O-RING PN.3J7354 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000887";"SEAL PN.3K0360 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000888";"SEAL-O-RING PN.4J0519 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000890";"SEAL-O-RING PN.4J0520 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000891";"SEAL-O-RING PN.4J0521 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000892";"SEAL-O-RING PN.4J0522 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000893";"Radial bearing 6313 inboard 105P30";"EA";"R02.B1.02";"0"
"80000917";"RING D112/148X9 (D217539) 101P02";"EA";"R08.B4.03";"0"
"80000918";"RING D120/185X10 (C196586) 101P02";"EA";"R08.B4.03";"0"
"80000919";"RING D190/260X10 (C196585) 101P02";"EA";"R08.B4.01";"0"
"80000921";"RING D245/325X10 (C201771) 101P01/03";"EA";"R08.B4.01";"0"
"80000922";"RING D28/38X10 (E153640) 101P02";"EA";"R08.B3.02";"0"
"80000923";"RING D40/57X17 (E154584) 101P01/03";"EA";"R08.B3.02";"0"
"80000924";"RING D75/87X6 (1345735) 101P02";"EA";"R08.B4.02";"0"
"80000925";"RING D80/92X6 (Z012864) 101P01/03";"EA";"R08.B4.02";"0"
"80000926";"RING D81/94X15 (1460914) 101P02";"EA";"R08.B4.02";"0"
"80000927";"RING D85/99X10 (E216952) 101P01/03";"EA";"R08.B4.02";"0"
"80000933";"GUIDE BUSH D75/102X61 (1346006) 101P02";"EA";"R08.B4.02";"0"
"80000944";"SNAP RING 42X1,75 (L108960) 101P02";"EA";"R08.B4.03";"0"
"80000945";"SNAP RING 56X2 (L108912) 101P01/03";"EA";"R08.B4.03";"0"
"80000947";"SNAP RING 60X2 (L100667) 101P02";"EA";"R08.B4.04";"0"
"80000953";"CAP SCREW M20X230 (L109396) 101P01/03";"EA";"R08.B4.04";"0"
"80000960";"HEX SCREW M10X110 (L101911) 101P02";"EA";"R08.B4.04";"0"
"80000965";"HEX SCREW M6X12 (L108366) 101P01/03";"EA";"R08.B4.04";"0"
"80000974";"OIL SEAL 105X130X13 (L103546) 101P01/03";"EA";"R01.B4.01";"0"
"80000975";"OIL SEAL 70X90X13 (L110948) 101P02";"EA";"R08.B4.03";"0"
"80001002";"PIN SHELL D110/141X72 (Z012309) 101P02";"EA";"R08.B4.01";"0"
"80001003";"PIN SHELL D145/182X92(1375294) 101P01/03";"EA";"R02.B4.04";"0"
"80001027";"SLEEVE D8/6X4 (E188021) 101P01/03";"EA";"R08.B4.03";"0"
"80001028";"SLEEVE D8/6X4 (E188021) 101P02";"EA";"R08.B4.03";"0"
"80001029";"SLEEVE D83,7/105/115X21 (L108961) 101P02";"EA";"R08.B4.03";"0"
"80001030";"SEAL-O-RING PN.4J0523 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001031";"SEAL-O-RING PN.4J0524 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001034";"SEAL-O-RING PN.4J0525 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001035";"SEAL-O-RING PN.4K1388 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001038";"SEAL-O-RING PN.5K9090 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001041";"SEAL-O-RING PN.6K6307 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001048";"SPRING D82,5/3,6X60X3,5 (1346378) 101P02";"EA";"R08.B4.03";"0"
"80001049";"SPRING D87/3,6X65X3,5(1396282) 101P01/03";"EA";"R08.B4.03";"0"
"80001050";"SPRING D88/5X76X3,5 (1290543) 101P02";"EA";"R08.B4.03";"0"
"80001051";"SPRING D92/5X80X3,5 (E178731) 101P01/03";"EA";"R08.B4.03";"0"
"80001052";"SPRING D80/41X3X5,1 (L109461) 101P01/03";"EA";"R08.B4.03";"0"
"80001053";"SPRING D56/28,5X3X4,2 (L105344) 101P02";"EA";"R08.B4.03";"0"
"80001054";"STRAIGHT PIN 8X26 (L108959) 101P02";"EA";"R08.B4.03";"0"
"80001081";"SEAL PN.6V8397 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001126";"SEAL-O-RING PN.6V8398 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001127";"SEAL-O-RING PN.6V8400 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001128";"SEAL-O-RING PN.6V9746 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001130";"SEAL-O-RING PN.7J0204 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001131";"SEAL PN.7J9108 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001132";"SEAL PN.7M8485 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001186";"SEAL-O-RING PN.8T0315 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001213";"UNION D41/84X44/G21/2A (E162298) 101P02";"EA";"R08.B4.02";"0"
"80001214";"UNION D42/108X45 (D154583) 101P01/03";"EA";"R08.B3.02";"0"
"80001222";"DISCH.VLV D92/M30X147(Z009445) 101P01/03";"EA";"R08.B4.02";"0"
"80001223";"DISCH.VLV D92/M30X104 (D213727-K) 101P02";"EA";"R08.B4.02";"0"
"80001225";"SUCT.VLV D89/M52X2X104(D213726-K) 101P02";"EA";"R17.B6.01";"0"
"80001232";"WASHER D25X2 101P02";"EA";"R08.B4.04";"0"
"80001235";"WASHER D39/60X4 (F130290) 101P01/03";"EA";"R08.B4.03";"0"
"80001236";"WASHER D39/60X4 (F130290) 101P02";"EA";"R08.B4.03";"0"
"80001246";"SEAL-O-RING PN.0304606 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001253";"RING-PISTON PN.2542054 - 136DG01/02";"EA";"R04.B4.02";"0"
"80001254";"RING-PISTON PN.2868928 - 136DG01/02";"EA";"R04.B4.02";"0"
"80001257";"RING-PISTON PN.2940309 - 136DG01/02";"EA";"R04.B4.02";"0"
"80001258";"SEAL-O-RING PN.4J0526 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001261";"SEAL-O-RING PN.4J0527 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001262";"SEAL-O-RING PN.4J5140 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001263";"SEAL-O-RING PN.4J5267 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001267";"SEAL-O-RING PN.4J5477 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001270";"SEAL-O-RING PN.4J7533 - 136DG01/02";"EA";"R04.B3.03";"0"
"80001273";"SOS ENGINE ANALYSIS HP427 - 136DG01/02";"EA";"R04.B6.03";"0"
"80001284";"CHAIN BLOCK 2 TON";"PC";"FL.06";"0"
"80001286";"CHAIN BLOCK 1 TON";"PC";"R22.B4.03";"0"
"80001292";"""GRINDING MACHINE 4""""""";"EA";"R29.B6.04";"0"
"80001293";"MAGNETIC STAND FOR DIAL GAUGE";"EA";"R18.B2.02";"0"
"80001295";"C/W 1199DDB54ARFW21DAA1,FLANGERMT(FMALE)";"UN";"AC.G2.28";"0"
"80001297";"C/W 1199DDB54ARFW21DAA1,FLANGERMT (MALE)";"UN";"AC.G2.28";"0"
"80001306";"BORE MACHINE 10MM TYPE 6411 MAKITA";"PC";"R04.B2.03";"0"
"80001308";"MEASURING TAPE 10M";"UN";"R29.B6.03";"0"
"80001309";"""SCRAPPER 3""""""";"PC";"R29.B6.03";"0"
"80001316";"HANDY TALKY MOTOROLA GP338";"UN";"ISUED";"0"
"80001317";"BASE STATION MOTOROLA GM338";"UN";"FL.03";"0"
"80001318";"RUPTURE DISC DN300 13.7BAR SS316";"PC";"R17.B6.04";"0"
"80001319";"RUPTURE DISC DN250 14.7BAR 109C SS316";"PC";"R17.B6.04";"0"
"80001324";"""ROTAMETER FT RAMC05 0-380KG/H 2""""ANSI150""";"SET";"AC.G1.17";"0"
"80001325";"""ROTAMETER FT RAMC02 0-850KG/H 1""""ANSI150""";"SET";"AC.G1.32";"0"
"80001326";"""ROTAMETER FT RAMC02 0-150KG/H 1""""ANSI150""";"SET";"AC.G1.25";"0"
"80001327";"""TEMP TRANSMITTER 0-400?C 0,5""""NPT,YTA110""";"SET";"AC.G1.16";"0"
"80001328";"""ROTAMETER FI , 0-80NM3/HR 1,5""""ANSI150""";"SET";"AC.G1.18";"0"
"80001329";"""ROTAMETER FT 0-4600KG/H 2""""ANSI150""";"SET";"AC.G1.19";"0"
